,ID,name
0,1,内蒙包头市友谊蔬菜批发市场
1,3,成都市农产品中心批发市场
2,4,安徽合肥周谷堆农产品批发市场
3,5,济南市八里桥蔬菜批发市场
4,8,江苏凌家塘农副产品批发市场
5,20,浙江良渚蔬菜市场开发有限公司
6,30,北京新发地农副产品批发市场信息中心
7,33,西安新土门蔬菜批发市场
8,34,广州白云山农产品综合批发市场
9,35,江苏联谊农副产品批发市场
10,36,山西省长治市紫坊农产品综合交易市场有限公司
11,38,陕西咸阳新阳光批发市场
12,39,河北秦皇岛昌黎农副产品批发市场
13,40,长春蔬菜中心批发市场集团有限公司
14,43,山东滕州蔬菜批发市场
15,48,黑龙江佳木斯蔬菜副食品批发市场
16,49,浙江嘉善曹安农产品批发有限公司
17,50,山东寿光蔬菜批发市场
18,51,北京八里桥农产品中心批发市场有限公司
19,52,浙江金华农产品批发市场
20,54,浙江嘉兴蔬菜批发交易市场
21,55,浙江省慈溪市蔬菜批发市场
22,56,乐亭县冀东果菜批发市场
23,57,宁波市蔬菜副食品批发交易市场
24,58,郑州陈砦蔬菜批发交易市场
25,59,江苏宜兴市瑞德蔬菜果品批发市场有限公司
26,60,河南郑州毛庄蔬菜批发市场
27,61,山东章丘蔬菜批发市场
28,62,陕西西安市胡家庙蔬菜批发市场
29,63,辽宁朝阳市果菜批发市场
30,64,安徽蚌埠海吉星农产品物流有限公司
31,65,江西乐平市蔬菜批发大市场
32,67,广西南宁五里亭蔬菜批发市场
33,68,襄樊市蔬菜批发市场
34,69,河北省永年县南大堡蔬菜批发市场
35,70,北京朝阳区大洋路综合市场
36,71,上海农产品中心批发市场经营管理有限公司
37,72,绍兴市蔬菜果品批发交易市场有限公司
38,73,山东鲁中蔬菜批发市场
39,74,南京白云亭农副产品批发市场
40,75,徐州农副产品中心批发市场
41,76,哈尔滨地利农副产品有限公司
42,77,四川金堂县官仓镇综合（果蔬）市场
43,78,安徽和县皖江蔬菜副食品批发市场
44,79,北京京丰岳各庄批发市场
45,80,四川成都西部禽蛋批发市场
46,81,宁夏吴忠东郊农产品批发市场
47,82,安徽淮南市安成鑫海批发大市场
48,83,北京水屯农副产品批发市场
49,84,北京大洋路农副产品批发市场(畜禽报价)
50,85,北京顺鑫石门农副产品批发市场
51,86,北京八里桥农产品中心批发市场(畜禽报价)
52,87,北京新发地农产品有限公司(畜禽报价)
53,88,秦皇岛昌黎农副产品批发市场(畜禽报价)
54,89,河北唐山市荷花坑市场经营管理有限公司
55,90,石家庄桥西蔬菜中心批发市场有限公司
56,91,张家口怀来县京西果菜批发市场
57,92,河北石家庄高邑蔬菜大市场
58,93,邯郸市(馆陶)金凤禽蛋农贸批发市场
59,94,河北涿州农副产品批发交易中心(畜禽蛋价格)
60,95,青岛市华中蔬菜批发市场
61,96,青岛市城阳蔬菜水产品批发市场有限公司
62,97,山西大同振华蔬菜批发市场
63,98,西安市朱雀农产品交易中心
64,99,大庆市农副产品综合批发市场
65,100,大连熟食品交易中心
66,101,呼和浩特市东瓦窑农副产品批发市场有限责任公司
67,102,安徽舒城蔬菜批发市场
68,103,乌鲁木齐北园春（集团）有限责任公司北园春市场
69,104,新疆克拉玛依农副产品批发市场
70,105,湖南长沙马王堆农产品股份有限公司
71,106,江西九江浔阳大市场
72,107,东莞市江南农副产品批发市场
73,108,广西梧州竹湾农副产品批发市场
74,109,江苏苏州南环桥农副产品批发市场
75,110,江苏海安农副产品批发市场
76,111,北京水屯农副产品批发市场中心
77,112,张家口市宣化盛发蔬菜水产副食品综合交易市场
78,113,邢台市食品蔬菜集团顺兴蔬菜批发市场
79,114,河北石家庄桥西蔬菜中心批发市场
80,115,辽宁沈阳粮食批发市场
81,116,新疆克拉玛依农副产品批发市场
82,117,武汉白沙洲农副产品大市场有限公司
83,118,湖北省黄石农产品中心批发市场
84,119,湖北华中粮食中心批发市场
85,120,九江粮食批发市场
86,121,东莞信立国际农产品贸易城
87,122,无锡三里桥粮油批发市场
88,123,浙江省农都农副产品批发交易市场
89,124,福州市亚峰蔬菜批发市场
90,125,云南元谋蔬菜批发交易市场
91,126,临清市桑树园蔬菜专业批发市场
92,127,河南新野县蔬菜批发市场
93,128,山东省泰安市岱岳区房村镇西良甫村西红柿蔬菜批发市场
94,129,广西南宁市五里亭蔬菜批发市场
95,131,郑州农产品物流配送中心有限公司
96,132,焦作市张村无公害蔬菜批发市场
97,133,山东金乡大蒜专业批发市场
98,134,河北馆陶金风市场
99,135,保定市大型瓜果蔬菜批发市场
100,136,三桥
101,137,唐山金玉农产品综合交易中心
102,138,河北省永年县河西堡蔬菜批发市场
103,139,永年县科源蔬菜专业合作社基地市场
104,140,河北省邯郸市曲周县广夏蔬菜批发市场
105,141,河南省新野县蔬菜批发交易市场
106,142,潍坊市南下河蔬菜批发市场
107,143,宁波江北名特优农副产品批发交易市场
108,144,河北省永年县义井堡蔬菜批发市场
109,145,承德市蔬菜果品批发市场
110,146,寿光洛城贾家蔬菜市场
111,147,焦作市蒋村无公害蔬菜批发市场
112,148,天津市王顶堤水产批发市场
113,149,重庆市江北区观音桥农贸市场管理处
114,150,徐州农副产品中心批发市场
115,151,唐山市荷花坑市场经营管理有限公司
116,152,四川南充川北农产品交易有限公司
117,153,江苏联谊农副产品批发市场
118,154,湖北潜江市江汉农产品大市场
119,155,河北唐山市荷花坑市场
